Date,HYSA Rate,1-Month T-Bill,3-month T-Bill,Fed Sentiment,Recommendation,Bond Rate,Stock Price,Money Market Rate,Short-Term Bond Rate
2024-10-14,4.5,5.0,5.1,HOLD,Invest in 1- or 3-month T-Bills,,,,
2024-10-14,4.5,5.0,5.1,HOLD,Invest in 1- or 3-month T-Bills,,,,
2024-10-14,4.5,5.0,5.1,HOLD,Invest in 1- or 3-month T-Bills,,,,
2024-10-14,4.5,5.0,5.1,HOLD,Invest in 1- or 3-month T-Bills,,,,
2024-10-14,,4.98,,,Insufficient data to make a recommendation,91.6,58.6,,
2024-10-14,,4.98,,,Insufficient data to make a recommendation,,,91.6,58.6
2024-10-14,,4.98,,,Insufficient data to make a recommendation,,,91.6,58.6
2024-10-14,,4.98,,,Insufficient data to make a recommendation,,,91.6,58.6
2024-10-14,,4.98,,,Insufficient data to make a recommendation,,,91.6,58.6
2024-10-14,,4.98,,,Insufficient data to make a recommendation,,,91.6,58.6
2024-10-14,,4.98,,,Insufficient data to make a recommendation,,,91.6,58.6
2024-10-14,,4.98,,,Insufficient data to make a recommendation,,,91.6,58.6
2024-10-14,,4.98,,,Insufficient data to make a recommendation,,,91.595,58.55
2024-10-14,,4.98,,,Insufficient data to make a recommendation,,,91.595,58.55
2024-10-14,,4.98,,,Insufficient data to make a recommendation,,,91.595,
2024-10-14,,4.98,,,Insufficient data to make a recommendation,,,,
2024-10-14,,4.98,,,Insufficient data to make a recommendation,,,,
2024-10-14,,4.98,,,Insufficient data to make a recommendation,,,,
2024-10-14,,4.98,,,Insufficient data to make a recommendation,,,,
2024-10-14,,4.98,,,Insufficient data to make a recommendation,,,,
2024-10-14,,4.98,,,Insufficient data to make a recommendation,,,91.58999633789062,58.54999923706055
2024-10-14,,4.98,,,Insufficient data to make a recommendation,,,91.58999633789062,58.54999923706055
2024-10-14,,4.98,,,Insufficient data to make a recommendation,,,91.58999633789062,58.54999923706055
2024-10-14,,4.98,,,Insufficient data to make a recommendation,,,91.58999633789062,58.54999923706055
2024-10-14,,4.98,,,Insufficient data to make a recommendation,,,91.58999633789062,58.54999923706055
2024-10-14,,4.98,,,Insufficient data to make a recommendation,,,91.58999633789062,58.54999923706055
2024-10-14,,4.98,,,"Based on limited data, consider stable options like Money Market Fund.",,,91.58999633789062,58.54999923706055
2024-10-14,,4.98,,,"Based on limited data, consider stable options like Money Market Fund.",,,91.58999633789062,58.54999923706055
2024-10-14,,,,,"Based on limited data, consider stable options like Money Market Fund.",,,91.58999633789062,58.54999923706055
2024-10-14,,,,,"Based on limited data, consider stable options like Money Market Fund.",,,91.58999633789062,58.54999923706055
2024-10-14,,,,,"Based on limited data, consider stable options like Money Market Fund.",,,91.58999633789062,58.54999923706055
2024-10-14,,,,,"Based on limited data, consider stable options like Money Market Fund.",,,91.58999633789062,58.54999923706055
2024-10-14,,,,,"Based on limited data, consider stable options like Money Market Fund.",,,91.58999633789062,58.54999923706055
2024-10-14,,4.98,,,"Based on limited data, consider stable options like Money Market Fund.",,,91.58999633789062,58.54999923706055
2024-10-14,,4.98,,,"Based on limited data, consider stable options like Money Market Fund.",,,91.58999633789062,58.54999923706055
2024-10-14,,4.98,,,"Based on limited data, consider stable options like Money Market Fund.",,,91.58999633789062,58.54999923706055
2024-10-14,,4.98,,,"Based on limited data, consider stable options like Money Market Fund.",,,91.58999633789062,58.54999923706055
2024-10-14,4.62,4.98,,,Invest in 1-Month T-Bills for higher yield and low risk.,,,91.58999633789062,58.54999923706055
2024-10-14,4.62,4.98,,,Invest in 1-Month T-Bills for higher yield and low risk.,,,91.58999633789062,58.54999923706055
2024-10-14,4.62,4.98,4.75,,Invest in 1-Month T-Bills for higher yield and low risk.,,,91.58999633789062,58.54999923706055
2024-10-14,4.62,4.98,4.75,,Invest in 1-Month T-Bills for higher yield and low risk.,,,91.58999633789062,58.54999923706055
